run_time,run_type,status,n_cities,duration_s,notes
2026-08-04T15:24:19.654829+00:00,midday,success,20,34.9,
2026-08-04T16:05:25.915702+00:00,midday,success,20,33.8,
2026-08-04T17:27:02.983497+00:00,midday,success,20,34.0,
2026-08-04T18:27:22.488736+00:00,midday,success,20,33.2,
2026-08-05T15:12:42.902216+00:00,midday,success,20,34.2,
2026-08-05T15:56:04.442362+00:00,midday,success,20,190.3,
2026-08-05T17:16:13.326838+00:00,midday,success,20,34.2,
2026-08-05T18:21:42.769637+00:00,midday,success,20,34.2,
2026-08-06T15:12:29.073628+00:00,midday,success,20,35.1,
2026-08-07T14:12:54.633247+00:00,morning,success,20,33.8,
